id,post_id,posttext_id
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,2,11
12,2,12
13,2,13
14,2,14
15,3,15
16,3,16
17,3,17
18,3,18
19,3,19
20,3,20
21,4,21
22,4,22
23,4,23
24,4,24
25,4,25
26,4,26
27,5,27
28,5,28
29,5,29
30,5,30
31,5,31
32,5,32
33,5,33
34,5,34
35,6,35
36,6,36
37,6,37
38,6,38
39,6,39
40,7,40
41,7,41
42,7,42
43,7,43
44,8,44
45,8,45
46,8,46
47,8,47
48,8,48
49,9,49
50,9,50
51,9,51
52,9,52
53,9,53
54,9,54
55,9,55
56,9,56
57,9,57
58,9,58
59,9,59
60,10,60
61,10,61
62,10,62
63,10,63
64,10,64
65,10,65
66,10,66
67,10,67
68,11,68
69,11,69
70,11,70
71,11,71
72,11,72
73,11,73
74,12,74
75,12,75
76,12,76
77,12,77
78,12,78
79,12,79
80,12,80
81,13,81
82,13,82
83,13,83
84,13,84
85,13,85
86,13,86
87,13,87
88,13,88
89,13,89
90,13,90
91,13,91
92,13,92
93,13,93
94,13,94
95,14,95
96,14,96
97,14,97
98,14,98
99,14,99
100,14,100
101,14,101
102,14,102
103,14,103
104,15,104
105,15,105
106,15,106
107,15,107
108,15,108
109,16,109
110,16,110
111,16,111
112,16,112
113,16,113
114,16,114
115,16,115
116,16,116
117,17,117
118,17,118
119,17,119
120,17,120
121,17,121
122,17,122
123,17,123
124,17,124
125,17,125
126,17,126
127,17,127
128,18,128
129,18,129
130,18,130
131,18,131
132,18,132
133,18,133
134,19,134
135,19,135
136,19,136
137,19,137
138,19,138
139,19,139
140,19,140
141,19,141
142,19,142
143,19,143
144,20,144
145,20,145
146,20,146
147,20,147
148,20,148
149,20,149
150,20,150
151,20,151
152,20,152
153,22,153
154,22,154
155,22,155
156,22,156
157,22,157
158,22,158
159,22,159
160,22,160
161,22,161
162,22,162
163,22,163
164,23,164
165,23,165
166,23,166
167,23,167
168,23,168
169,24,169
170,24,170
171,24,171
172,24,172
173,24,173
174,24,174
175,24,175
176,24,176
177,25,177
178,26,178
179,26,179
180,26,180
181,26,181
182,26,182
183,27,183
184,27,184
185,27,185
186,27,186
187,28,187
188,28,188
189,28,189
190,28,190
191,28,191
192,28,192
193,28,193
194,28,194
195,28,195
196,28,196
197,28,197
198,28,198
199,29,199
200,29,200
201,29,201
202,29,202
203,30,203
204,30,204
205,30,205
206,30,206
207,30,207
208,30,208
209,30,209
210,30,210
211,31,211
212,31,212
213,31,213
214,31,214
215,31,215
216,31,216
217,31,217
218,31,218
219,31,219
220,31,220
221,31,221
222,31,222
223,31,223
224,31,224
225,31,225
226,31,226
227,31,227
228,32,228
229,32,229
230,32,230
231,32,231
232,32,232
233,32,233
234,32,234
235,33,235
236,33,236
237,33,237
238,33,238
239,33,239
240,33,240
241,33,241
242,33,242
243,33,243
244,33,244
245,33,245
246,33,246
247,34,247
248,34,248
249,34,249
250,34,250
